#                TVD               North                East
                20.0                 1.0              -999.0
                40.0                 2.5              -999.0
                60.0                3.12               172.0
                80.0                3.37               172.0
               100.0                3.92               172.0
               120.0                 4.5               172.0
               140.0                4.62               172.0
               160.0                 6.5               172.0
               180.0                 9.5               172.0
               200.0               12.92               172.0
               220.0                15.5               172.0
               240.0               19.75               173.0
               260.0                23.0               173.0
               280.0                26.0               173.0
               300.0                27.5               173.0
               320.0                26.5               172.0
               340.0                25.5               172.0
               360.0                25.0               171.0
               380.0               24.75               171.0
               400.0                24.1               171.0
               420.0                23.8               171.0
               440.0               23.52               172.0
               460.0               23.33               172.0
               480.0               23.25               172.0
               500.0               23.18               172.0
               520.0               22.85               172.0
               540.0               22.52               172.0
               560.0               22.05               173.0
               580.0                21.4               174.0
               600.0               20.75               174.0
               620.0               21.12               174.0
               640.0               21.48               175.0
               660.0               21.73               175.0
               680.0               21.87               175.0
               700.0                22.0               176.0
               720.0                22.4               176.0
               740.0                22.8               176.0
               760.0                23.1               176.0
               780.0                23.3               176.0
               800.0                23.5               176.0
               820.0               23.75               176.0
               840.0                24.0               176.0
               860.0               24.35               176.0
               880.0               24.43               176.0
               900.0                24.5               176.0
               920.0                24.5               175.0
               940.0                24.5               175.0
               960.0                24.5               175.0
               980.0               24.45               175.0
              1000.0               24.43               175.0
              1020.0               24.45               175.0
              1040.0                24.5               175.0
              1060.0                24.5               175.0
              1080.0               24.47               175.0
              1100.0               24.45               175.0
              1120.0                24.6               175.0
              1140.0               24.75               175.0
              1160.0                25.0               175.0
              1180.0               24.75               174.0
              1200.0               24.92               173.0
              1220.0               24.75               173.0
              1240.0               24.58               174.0
              1260.0               24.22               174.0
              1280.0               23.85               174.0
              1300.0                23.4               174.0
              1320.0               22.67               174.0
              1340.0                21.9               174.0
              1360.0                21.5               174.0
              1380.0               21.45               175.0
              1400.0               21.43               175.0
              1420.0               21.17               175.0
              1440.0                20.9               175.0
              1460.0                20.7               175.0
              1480.0               20.57               174.0
              1500.0               20.45               174.0
              1520.0               20.07               174.0
              1540.0                19.7               175.0
              1560.0               19.28               175.0
              1580.0               18.85               175.0
              1600.0               18.42               175.0
              1620.0               18.15               174.0
              1640.0               17.88               174.0
              1660.0                18.0               174.0
              1680.0               17.75               174.0
              1700.0               16.92               173.0
              1720.0               15.75               172.0
              1740.0               14.58               171.0
              1760.0                13.9               172.0
              1780.0                13.7               173.0
              1800.0                13.5               174.0
              1820.0               13.15               175.0
              1840.0                12.8               175.0
              1860.0                12.5               175.0
              1880.0               12.25               174.0
              1900.0                12.0               173.0
              1920.0                11.9               173.0
              1940.0                11.8               172.0
              1960.0               11.65               172.0
              1980.0               11.45               171.0
              2000.0               11.25               171.0
              2020.0               11.25               171.0
              2040.0               11.25               172.0
              2060.0                11.2               172.0
              2080.0                11.1               173.0
              2100.0                11.0               173.0
              2120.0                10.5               172.0
              2140.0                10.0               171.0
              2160.0                 9.7               170.0
              2180.0                 9.6               169.0
              2200.0                 9.5               169.0
              2220.0                 9.0               170.0
              2240.0                 8.5               172.0
              2260.0                8.18               172.0
              2280.0                 8.0               178.0
              2300.0                8.25               170.0
